Commune;Population standardisée par la consommation de soins de médecine générale par tranche d'âge;APL aux médecins généralistes
02449;70,39302292;1,716297395
02450;364,3043773;3,367665806
02451;123,5749939;3,018008687
02452;226,7940598;2,734850752
02453;399,6160692;2,447073547
02454;386,1981304;2,43316555
02455;200,1528745;2,487983331
02456;319,0609724;2,588654314
02457;413,8936466;2,864023298
02458;816,519098;4,78091564
02459;180,6629249;2,048192349
02460;195,2663629;3,503923396
02461;357,9229636;2,870201246
02462;234,209227;3,038671311
02463;79,39661268;2,620067032
02464;375,5247315;2,254973941
02465;474,4390889;1,212169585
02466;125,8601136;1,716297395
02467;50,46944223;1,434422139
02468;2360,057121;3,026843823
02469;500,2212874;2,428788917
02470;436,1068126;3,157250601
02471;118,7478773;1,920908342
02472;410,0307141;2,93788013
02473;193,0516864;2,691083124
02474;394,8607161;4,040253948
02476;644,9598457;3,488309684
02477;992,0877448;3,648404614
02478;241,8659998;3,07520989
02480;311,649522;1,629386166
02481;481,3713191;5,919122699
02482;49,16280486;1,879145984
02483;535,7619016;3,64431186
02484;513,0695724;3,234883157
02485;92,45356263;3,09331914
02486;96,87421787;2,106909678
02487;641,5332223;3,322528685
02488;156,198466;3,147494704
02489;317,7182073;4,217447324
02490;136,3165192;2,42333292
02491;320,9739699;3,549905971
02492;460,2977184;2,122550532
02493;219,6840106;3,102058262
02494;143,0753184;2,756010263
02495;1024,589466;4,25935389
02496;96,40275203;1,716297395
02497;1137,170169;4,432933999
02498;736,8954759;2,492030721
02499;45,45529884;2,737230946
02500;809,9874512;2,701697528
02501;87,96149815;1,371290735
02502;1357,002446;2,67579619
02503;856,8684682;3,76797995
02504;1589,531326;3,758517431
02505;205,2601926;2,652886742
02506;197,1255515;2,567514965
02507;32,3624907;1,29996352
02508;152,6121422;1,916807617
02509;152,3264393;0,982639418
02510;146,9749276;3,126838944
02511;282,7823422;3,713009974
02512;269,2510426;1,918520368
02513;151,5266123;2,342187413
02514;673,3465828;1,626990237
02515;58,61151372;3,630693041
02516;66,1897408;3,026843823
02517;304,8694192;2,343327487
02518;304,8087358;2,738619651
02519;185,1949492;3,536917299
02520;716,4942252;2,826325153
02521;1323,370737;1,701669135
02522;71,93877196;1,995605484
02523;70,87962456;2,67490915
02524;687,6148064;4,108525473
02525;590,6201309;2,349243923
02526;93,48978464;3,333891639
02527;434,7718656;0,72003124
02528;243,4344492;2,374241303
02529;188,8195772;3,083183139
02530;77,81376206;2,034992703
02531;126,9729207;2,674632324
02532;995,8121971;3,279994211
02533;124,3697725;1,515465394
02534;52,61991942;1,879145984
02535;121,5054217;3,272908277
02536;103,008859;1,649930236
02537;179,859909;2,884200691
02538;66,92406693;2,237892753
02539;682,3157151;2,2031444
02540;1207,344133;3,594016342
02541;410,9660706;2,956523212
02542;90,37457863;3,154920685
02543;2078,407834;1,459356493
02544;591,4870826;3,868006801
02545;175,0052087;3,411431011
02546;193,126915;3,083087747
